1,0,93906,29306,23910,44383,65163,36872,48035,32462,68272
2,199999,98490,28096,19006,55633,58090,28988,61077,24230,61769
3,399999,95333,32125,18420,47851,64958,31081,53859,31156,62822
4,599999,93121,33424,19534,43086,64059,38650,49841,29713,68004
5,799999,92929,33367,19800,43378,59303,44125,51195,24136,71561
6,999999,93519,34145,18379,45163,56937,44669,54353,21074,71210
7,1199999,93227,36179,16664,43181,58816,45232,55192,21789,69839
8,1399999,92086,37966,16121,35503,61618,52666,54189,21724,70911
9,1599999,91621,38316,16278,27448,60586,65358,55318,17301,73679
10,1799999,92744,38071,15298,27397,54858,72391,60547,11094,74030
11,1999999,94449,39214,12295,33563,50504,68861,66900,9128,69655
12,2199999,94848,42578,8496,37024,52629,61168,69456,13994,63082
13,2399999,93203,46935,5934,35868,58099,55802,66277,22184,59225
14,2599999,90549,50397,5367,32641,61692,55677,59659,28212,60624
15,2799999,88386,52297,5826,30712,61499,58542,53522,29725,65480
16,2999999,87185,53424,6009,30854,59589,60778,50676,27959,69849
17,3199999,86373,54714,5605,31513,58399,61463,51591,24849,71452
18,3399999,85417,56246,5115,31471,57993,62142,54670,21181,71203
19,3599999,84458,57602,4805,31112,57151,63797,58229,17059,70845
20,3799999,83828,58766,4329,31186,55833,65466,61718,13262,70392
21,3999999,83382,60219,3362,31585,55303,65725,64596,11308,69091
22,4199999,82617,62242,2174,32062,56127,64146,66371,11578,67037
23,4399999,81334,64513,1303,33304,57407,60845,67985,12560,64529
24,4599999,79843,66567,875,36089,58358,55776,70936,12957,61199
25,4799999,78453,68397,561,39656,59543,49403,75152,13342,56682
26,4999999,77046,70313,180,42109,61797,43358,78996,14915,51609
27,5199999,75357,72336,0,42469,64716,39465,81358,17538,47223
28,5399999,73512,74065,283,41468,67005,38289,82617,19971,44248
29,5599999,71975,75273,752,40299,67920,39098,83425,21544,42613
30,5799999,70907,76368,822,39224,67653,41183,83394,22678,42215
31,5999999,69828,77986,380,37734,66330,44869,81599,23636,43518
32,6199999,68133,80169,47,35929,63161,50823,78276,23423,46971
33,6399999,65843,82222,492,35212,57193,58333,75422,20654,51825
34,6599999,63631,83487,1639,37100,48986,64881,75201,15573,55948
35,6799999,62067,84081,2752,41365,41021,68023,77838,10588,57279
36,6999999,61023,84697,3274,45825,35952,67674,81426,8345,55532
37,7199999,59936,85797,3359,48221,34476,66101,83865,9381,52283
38,7399999,58498,87217,3508,48112,35174,65588,84707,12024,49330
39,7599999,56869,88591,3912,46725,36311,66479,84953,14413,47209
40,7799999,55254,89886,4379,45239,37313,67736,85395,16106,45452
41,8000000,53541,91316,4816,43724,38355,68915,85725,17549,43923
42,8199999,51508,92868,5482,41784,39102,70887,85337,18613,43306
43,8399999,49236,94186,6643,39644,38577,74548,84441,18433,44182
44,8600000,47093,95003,8164,38098,36310,79462,83891,16663,46092
45,8799999,45290,95476,9658,37563,33004,84247,84114,14194,47919
46,8999999,43670,95925,10975,37774,29716,87982,84767,12191,49022
47,9199999,42035,96378,12306,38530,26722,90593,85588,10815,49524
48,9399999,40501,96615,13741,40281,23742,91830,87040,9531,49419
49,9600000,39306,96671,14990,43498,21172,90588,89618,8608,47958
50,9799999,38310,96998,15748,47641,20383,85932,92698,9540,44415
51,9999999,36969,97943,16267,51299,22313,78621,94707,13465,39302
52,10200000,34939,99171,17253,53578,26114,70930,94701,19547,34266
53,10399999,32587,99904,19086,54984,29785,64680,93398,25574,30562
54,10599999,30649,99782,21322,56581,32203,59855,92241,30206,27980
55,10800000,29413,99285,23168,58460,34007,55531,91643,34002,25614
56,10999999,28419,99155,24382,59579,36229,51771,90699,37956,23401
57,11199999,27053,99548,25479,59218,38533,49865,88718,41568,22354
58,11400000,25258,99954,27030,58106,39450,50569,86461,43133,23167
59,11599999,23477,99920,29007,57702,38263,52780,85400,41848,25118
60,11800000,21995,99561,30983,58582,35967,54520,86023,38898,26767
61,11999999,20632,99221,32809,60073,34038,54911,87486,36075,27445
62,12199999,19159,98875,34763,61492,32786,54533,88991,33930,27508
63,12400000,17758,98168,36998,63119,31567,53848,90848,31990,27132
64,12599999,16813,97035,39162,65480,30396,52175,93655,30528,25570
65,12799999,16314,95936,40804,68038,30442,48824,96818,31062,22133
66,13000000,15791,95307,42004,69353,32491,44756,98694,34596,17548
67,13199999,14920,94997,43264,68673,35579,42129,98345,40074,13599
68,13399999,13921,94573,44779,66733,37948,42058,96436,45477,11314
69,13600000,13088,94075,46185,64495,39163,43719,93875,50240,10210
70,13799999,12102,94038,47297,61620,40224,46284,90150,55412,9787
71,14000000,10275,94516,48812,57154,41160,50965,84091,60943,11165
72,14199999,7650,94453,51739,51889,39531,59712,76488,63937,16082
73,14399999,5492,92570,55976,48993,32744,71526,70854,61161,23979
74,14600000,5194,88986,59885,51175,22012,81377,70396,53463,31075
75,14799999,6653,85495,61784,57340,12695,84249,74331,46273,33458
76,14999999,8168,83834,61793,63080,9558,80260,78309,44525,31048
77,15200000,8220,83818,61751,65101,12035,74537,79067,47555,27546
78,15399999,7117,83668,63104,64529,15357,71395,77925,50373,25994
79,15599999,6434,82255,65263,64963,16554,69619,78642,50215,25206
80,15799999,6858,80519,66536,67437,18035,64828,82018,50346,21665
81,16000000,7141,80184,66563,68641,23999,56291,84041,55971,14811
82,16200000,5612,81261,67154,64985,33803,49588,80352,66866,9068
83,16400000,2507,81519,70282,57817,40752,51071,71920,75976,9580
84,16599999,180,78824,75516,53189,38599,60202,64865,76436,16332
85,16799999,702,73685,80086,55890,28556,68998,64162,69110,23718
86,17000000,3596,68920,81694,64458,18461,69788,68454,61686,26337
87,17200000,6364,66741,80854,72979,14802,62602,72033,60241,24357
88,17400000,7187,66613,80084,77530,16693,53867,71572,63139,22310
89,17599999,6638,66282,81013,79776,18524,48290,69601,64259,23012
