1,0,507,-10854,11608,-16545,-29145,30000,-2553
2,4167,-24464,5625,7302,-5818,-20331,-14093,29920
3,8333,-829,10836,-11839,-6727,29153,-29976,2524
4,12500,24625,-5721,-7430,-2000,20297,14110,-29905
5,16667,507,-11075,11856,-16545,-29171,29992,-2516
6,20833,-25007,5753,7356,-11636,-20288,-14118,29905
7,25000,-477,11155,-11983,15455,29179,-29984,2509
8,29167,24977,-5944,-7463,-6727,20262,14158,-29920
9,33333,257,-11122,12017,-18364,-29222,29984,-2473
10,37500,-25168,5849,7410,-7818,-20236,-14190,29920
11,41667,-382,11060,-12090,6727,29248,-29960,2429
12,45833,25073,-5896,-7430,909,20193,14230,-29927
13,50000,352,-11170,12017,-18364,-29283,29952,-2392
14,54167,-25168,6021,7410,2909,-20158,-14263,29927
15,58333,-477,11060,-12124,2000,29291,-29911,2341
16,62500,25132,-6087,-7430,-8727,20124,14311,-29934
17,66667,257,-10997,12017,-10727,-29326,29895,-2305
18,70833,-25102,5878,7356,-6727,-20124,-14319,29949
19,75000,-286,10836,-12037,-909,29343,-29895,2290
20,79167,24625,-5768,-7323,909,20089,14359,-29949
21,83333,161,-10949,11823,-21273,-29387,29895,-2254
22,87500,-24560,5706,7195,-9636,-20055,-14384,29956
23,91667,-477,10836,-11679,12545,29387,-29871,2232
24,95833,24339,-5721,-7323,-4909,20020,14416,-29949
25,100000,447,-10774,11518,-18364,-29395,29863,-2225
26,104167,-24118,5578,7302,2000,-20029,-14424,29964
27,108333,-638,10663,-11625,0,29395,-29847,2195
28,112500,23796,-5545,-7269,-7818,19994,14448,-29956
29,116667,507,-10678,11518,-10727,-29421,29839,-2174
30,120833,-23927,5482,7162,-5818,-19977,-14440,29934
31,125000,-734,10568,-11427,2000,29395,-29823,2174
32,129167,23736,-5497,-7179,-2000,19960,14456,-29934
33,133333,507,-10631,11267,-21273,-29412,29815,-2159
34,137500,-23766,5435,7108,-6727,-19960,-14448,29934
35,141667,-638,10535,-11320,8727,29404,-29807,2159
36,145833,23641,-5592,-7125,-7818,19942,14480,-29942
37,150000,507,-10583,11213,-21273,-29387,29815,-2181
38,154167,-23927,5530,7055,-8727,-19951,-14480,29949
39,158333,-638,10568,-11374,7818,29369,-29790,2174
40,162500,23796,-5640,-7179,-8727,19942,14488,-29949
41,166667,507,-10631,11518,-7818,-29395,29799,-2159
42,170833,-24023,5706,7108,2000,-19934,-14488,29942
43,175000,-638,10663,-11732,-5818,29404,-29790,2144
44,179167,24178,-5816,-7323,-15455,19916,14521,-29956
45,183333,352,-10821,11769,-10727,-29421,29782,-2123
46,187500,-24464,5878,7249,6727,-19908,-14521,29956
47,191667,-382,10759,-11876,0,29430,-29758,2093
48,195833,24530,-5944,-7269,-9636,19882,14545,-29949
49,200000,161,-10854,11910,-10727,-29447,29766,-2086
50,204167,-24816,5926,7195,-3818,-19873,-14553,29949
51,208333,-95,10836,-12124,0,29456,-29758,2079
52,212500,24786,-5992,-7323,-7818,19847,14593,-29964
53,216667,-95,-11045,12107,-19455,-29482,29758,-2050
54,220833,-24912,5974,7195,-3818,-19830,-14617,29971
55,225000,0,11107,-12177,16545,29507,-29742,2013
56,229167,24882,-6164,-7269,-12545,19787,14674,-29985
57,233333,0,-11122,12214,-15455,-29551,29726,-1969
58,237500,-25007,6102,7249,3818,-19761,-14698,29985
59,241667,-191,11027,-12338,-2909,29559,-29702,1933
60,245833,24977,-6164,-7323,-12545,19718,14730,-29978
61,250000,0,-10997,12214,-7818,-29594,29702,-1896
62,254167,-25168,6102,7162,-5818,-19700,-14754,29985
63,258333,-95,10884,-12177,0,29603,-29686,1882
64,262500,24882,-6087,-7215,-4909,19675,14786,-29993
65,266667,0,-10902,11910,-18364,-29628,29678,-1853
66,270833,-24721,5974,7249,4909,-19657,-14803,30000
67,275000,-191,10806,-11876,8727,29628,-29654,1831
68,279167,24434,-5944,-7179,-7818,19623,14835,-29993
69,283333,161,-10726,11769,-10727,-29654,29662,-1816
70,287500,-24369,5706,7055,-11636,-19605,-14843,29985
71,291667,-477,10568,-11732,-6727,29646,-29637,1802
72,295833,24082,-5721,-7179,-4909,19579,14859,-29978
73,300000,352,-10583,11518,-9636,-29646,29645,-1802
74,304167,-23927,5658,7108,2000,-19579,-14851,29971
75,308333,-543,10488,-11481,0,29646,-29629,1794
76,312500,23641,-5721,-7125,-15455,19579,14875,-29993
77,316667,352,-10503,11411,-10727,-29680,29621,-1758
78,320833,-23671,5530,7055,-909,-19571,-14875,29985
79,325000,-382,10488,-11571,0,29663,-29605,1765
80,329167,23545,-5640,-7125,-13636,19545,14883,-29971
81,333333,257,-10503,11518,-7818,-29654,29605,-1765
82,337500,-23832,5658,7055,2000,-19554,-14867,29964
83,341667,-382,10440,-11535,-909,29663,-29589,1743
84,345833,23891,-5673,-7179,-7818,19545,14891,-29971
85,350000,161,-10583,11555,-13636,-29672,29581,-1729
86,354167,-24214,5706,7055,-6727,-19536,-14891,29971
87,358333,-286,10568,-11732,-909,29663,-29573,1729
88,362500,24339,-5944,-7125,-7818,19519,14915,-29978
89,366667,66,-10678,11715,-13636,-29680,29565,-1707
90,370833,-24560,6021,7055,2000,-19493,-14907,29956
91,375000,-95,10759,-11930,5818,29689,-29557,1699
92,379167,24625,-6212,-7071,-12545,19467,14940,-29956
93,383333,-95,-10821,11963,-13636,-29706,29557,-1678
94,387500,-25007,6150,7001,-6727,-19450,-14948,29949
95,391667,66,10806,-12124,2909,29715,-29541,1656
